iter	RMSE
0	14.01375316
1	13.16257542
2	12.42981504
3	11.73614385
4	11.02999648
5	10.4430377
6	9.930694986
7	9.490689183
8	9.061336078
9	8.671936545
10	8.356512517
11	8.082500416
12	7.809008023
13	7.607408945
14	7.427839313
15	7.222890973
16	7.033317667
17	6.894511066
18	6.740709132
19	6.621882269
20	6.543108888
21	6.442082903
22	6.354097935
23	6.303432969
24	6.234815042
25	6.176661116
26	6.123910744
27	6.081573997
28	6.040600495
29	6.002512186
30	5.979486293
31	5.943275754
32	5.91920353
33	5.888691166
34	5.862715961
35	5.835823415
36	5.816876125
37	5.802605281
38	5.784635944
39	5.764418408
40	5.747800384
41	5.729224196
42	5.709379616
43	5.696432237
44	5.685599652
45	5.672658895
46	5.661827866
47	5.645963081
48	5.637059304
49	5.625341067
