iter	Passed	Remaining
0	132	132813
1	133	66834
2	134	44858
3	135	33845
4	136	27254
5	137	22839
6	139	19729
7	140	17403
8	141	15557
9	142	14078
10	143	12887
11	144	11922
12	145	11075
13	146	10340
14	147	9703
15	148	9143
16	149	8647
17	150	8200
18	151	7799
19	151	7438
20	152	7111
21	153	6842
22	154	6576
23	155	6330
24	156	6106
25	157	5908
26	158	5725
27	159	5542
28	160	5371
29	161	5211
30	161	5063
31	162	4922
32	163	4790
33	164	4665
34	164	4548
35	165	4439
36	166	4335
37	167	4244
38	168	4158
39	169	4069
40	170	3984
41	171	3911
42	172	3842
43	173	3768
44	174	3698
45	175	3629
46	175	3563
47	176	3500
48	177	3440
49	178	3382
50	178	3326
51	179	3273
52	180	3221
53	181	3175
54	182	3137
55	183	3093
56	184	3047
57	185	3009
58	186	2976
59	187	2938
60	188	2900
61	189	2861
62	189	2824
63	190	2788
64	191	2753
65	192	2720
66	193	2687
67	193	2655
68	194	2624
69	195	2593
70	196	2570
71	197	2547
72	198	2521
73	199	2495
74	200	2472
75	202	2461
76	203	2437
77	204	2412
78	204	2387
79	205	2364
80	206	2341
81	207	2319
82	207	2293
83	208	2272
84	209	2251
85	209	2230
86	210	2212
87	211	2196
88	212	2178
89	213	2160
90	214	2143
91	215	2128
92	216	2114
93	217	2097
94	218	2080
95	219	2064
96	219	2047
97	220	2031
98	221	2015
99	222	1999
100	222	1983
101	223	1969
102	224	1955
103	225	1940
104	226	1929
105	227	1919
106	228	1908
107	230	1902
108	231	1893
109	232	1880
110	233	1867
111	233	1855
112	234	1842
113	235	1830
114	236	1818
115	237	1806
116	237	1793
117	238	1781
118	239	1770
119	239	1759
120	240	1750
121	242	1742
122	242	1732
123	243	1722
124	244	1714
125	246	1707
126	246	1697
127	247	1687
128	248	1678
129	249	1668
130	250	1658
131	250	1649
132	251	1640
133	252	1630
134	253	1622
135	253	1613
136	254	1604
137	256	1600
138	257	1592
139	257	1584
140	258	1576
141	259	1567
142	260	1561
143	261	1555
144	262	1547
145	263	1539
146	264	1531
147	264	1524
148	265	1516
149	266	1509
150	267	1501
151	267	1494
152	268	1486
153	269	1479
154	270	1473
155	271	1468
156	272	1462
157	273	1455
158	274	1449
159	275	1444
160	275	1438
161	276	1431
162	277	1424
163	278	1418
164	279	1411
165	279	1405
166	280	1399
167	281	1393
168	282	1387
169	283	1381
170	283	1376
171	285	1373
172	286	1368
173	287	1363
174	288	1358
175	288	1352
176	290	1348
177	291	1344
178	292	1339
179	292	1333
180	293	1328
181	294	1323
182	295	1318
183	296	1315
184	297	1310
185	298	1305
186	299	1302
187	300	1298
188	301	1294
189	302	1290
190	303	1285
191	304	1280
192	305	1277
193	306	1272
194	307	1268
195	307	1263
196	308	1258
197	309	1254
198	310	1249
199	311	1244
200	311	1240
201	312	1235
202	313	1230
203	315	1231
204	316	1226
205	317	1222
206	317	1217
207	318	1213
208	319	1208
209	320	1203
210	320	1199
211	321	1195
212	322	1191
213	323	1187
214	324	1183
215	325	1180
216	326	1176
217	326	1172
218	327	1168
219	328	1164
220	330	1163
221	331	1160
222	331	1156
223	332	1152
224	333	1149
225	334	1145
226	335	1141
227	335	1137
228	336	1133
